meter_id,latitude,longitude,address,manufacturer,model,installation_date,status,quality_tier,firmware_version,meter_type,tariff_type,base_consumption,voltage_range,current_range,created_at,updated_at
SM000000,53.582480068486504,10.000560088670879,"Park Street 858, Hamburg, Germany",Landis+Gyr,Model-5070,2023-02-19T13:23:26.289612,ACTIVE,POOR,5.8.8,industrial,demand_response,8.80950312198699,"(220, 240)","(10, 100)",2025-10-02T11:23:26.289659,2025-10-02T11:23:26.289661
SM000001,51.542159694745074,7.439659058679907,"Garden Street 909, Dortmund, Germany",Elster,Model-1179,2021-07-03T13:23:26.289678,ACTIVE,GOOD,2.8.7,commercial,demand_response,8.988743241321846,"(220, 240)","(5, 30)",2025-10-02T11:23:26.289693,2025-10-02T11:23:26.289694
SM000002,53.58530516731671,10.040087861582814,"First Street 468, Hamburg, Germany",Itron,Model-3735,2018-04-05T13:23:26.289703,ACTIVE,EXCELLENT,5.9.6,residential,demand_response,1.1962697093635961,"(220, 240)","(1, 15)",2025-10-02T11:23:26.289714,2025-10-02T11:23:26.289716
SM000003,53.504059974115776,10.014325102278049,"Garden Street 918, Hamburg, Germany",ABB,Model-6394,2022-09-18T13:23:26.289725,INACTIVE,FAIR,4.4.3,residential,demand_response,1.9731102596450758,"(220, 240)","(1, 15)",2025-10-02T11:23:26.289754,2025-10-02T11:23:26.289756
SM000004,53.5533289583641,10.027351065803732,"Main Street 217, Hamburg, Germany",ABB,Model-2552,2022-06-22T13:23:26.289763,ACTIVE,FAIR,3.9.1,residential,demand_response,0.8031777187182212,"(220, 240)","(1, 15)",2025-10-02T11:23:26.289775,2025-10-02T11:23:26.289777
SM000005,51.20297568033775,6.805513815945748,"First Street 821, Düsseldorf, Germany",Elster,Model-7373,2020-11-11T13:23:26.289784,ACTIVE,EXCELLENT,4.4.6,commercial,standard,4.688744164184998,"(220, 240)","(5, 30)",2025-10-02T11:23:26.289794,2025-10-02T11:23:26.289796
SM000006,51.52759151521291,7.4612843064722005,"First Street 776, Dortmund, Germany",Landis+Gyr,Model-9445,2024-08-30T13:23:26.289803,ACTIVE,FAIR,5.5.3,commercial,standard,7.0974401029388865,"(220, 240)","(5, 30)",2025-10-02T11:23:26.289813,2025-10-02T11:23:26.289815
SM000007,52.56814733051276,13.381634058595235,"Garden Street 275, Berlin, Germany",Elster,Model-4181,2021-12-23T13:23:26.289827,ACTIVE,EXCELLENT,3.2.1,residential,standard,1.848319396710914,"(220, 240)","(1, 15)",2025-10-02T11:23:26.289838,2025-10-02T11:23:26.289840
SM000008,48.106386226945794,11.578786462033733,"Garden Street 408, Munich, Germany",Siemens,Model-3580,2024-12-25T13:23:26.289847,ACTIVE,UNKNOWN,5.8.3,industrial,demand_response,11.869001856544479,"(220, 240)","(10, 100)",2025-10-02T11:23:26.289857,2025-10-02T11:23:26.289859
SM000009,50.90474919551329,6.989051294579116,"Park Street 977, Cologne, Germany",Elster,Model-6022,2024-08-03T13:23:26.289866,ACTIVE,EXCELLENT,2.2.1,commercial,demand_response,9.665960947516794,"(220, 240)","(5, 30)",2025-10-02T11:23:26.289876,2025-10-02T11:23:26.289877
SM000010,48.08775794112467,11.586769321177204,"Main Street 744, Munich, Germany",Itron,Model-7515,2017-08-04T13:23:26.289884,ACTIVE,EXCELLENT,1.7.8,industrial,time_of_use,48.42460013044782,"(220, 240)","(10, 100)",2025-10-02T11:23:26.289892,2025-10-02T11:23:26.289894
SM000011,50.13808152750205,8.706927211962741,"Park Street 302, Frankfurt, Germany",ABB,Model-3986,2023-10-21T13:23:26.289900,ACTIVE,EXCELLENT,1.5.3,residential,standard,1.7235945752747164,"(220, 240)","(1, 15)",2025-10-02T11:23:26.289910,2025-10-02T11:23:26.289911
SM000012,48.11403759399871,11.624194155386846,"Main Street 627, Munich, Germany",Itron,Model-7886,2022-07-01T13:23:26.289916,FAULTY,GOOD,1.2.3,residential,time_of_use,1.363485591969374,"(220, 240)","(1, 15)",2025-10-02T11:23:26.289925,2025-10-02T11:23:26.289926
SM000013,48.80960034089972,9.201435726665812,"First Street 562, Stuttgart, Germany",Elster,Model-6693,2017-07-12T13:23:26.289932,ACTIVE,FAIR,5.3.6,commercial,time_of_use,1.1525352616328195,"(220, 240)","(5, 30)",2025-10-02T11:23:26.289942,2025-10-02T11:23:26.289943
SM000014,51.23114136954741,6.745612380822837,"Garden Street 873, Düsseldorf, Germany",Landis+Gyr,Model-5453,2019-07-19T13:23:26.289949,ACTIVE,GOOD,2.8.1,residential,standard,0.32986159293205014,"(220, 240)","(1, 15)",2025-10-02T11:23:26.289958,2025-10-02T11:23:26.289959
SM000015,51.266759491902185,6.767245251011586,"Main Street 203, Düsseldorf, Germany",Siemens,Model-4316,2016-08-11T13:23:26.289965,ACTIVE,EXCELLENT,4.9.2,commercial,time_of_use,1.5902803550651154,"(220, 240)","(5, 30)",2025-10-02T11:23:26.289974,2025-10-02T11:23:26.289975
SM000016,50.06885517274516,8.671186834505399,"Second Street 867, Frankfurt, Germany",ABB,Model-3605,2017-02-22T13:23:26.289980,ACTIVE,POOR,5.4.3,commercial,time_of_use,1.5197528030543812,"(220, 240)","(5, 30)",2025-10-02T11:23:26.289989,2025-10-02T11:23:26.289990
