station_id,name,station_type,latitude,longitude,address,operator,contact_email,contact_phone,status,elevation_m,total_observations,average_quality_score,created_at,updated_at
WS000,Berlin-Tegel,MANUAL,52.5667,13.3167,"Weather Station Berlin-Tegel, Germany",Local Authority,weather-berlintegel@dwd.de,+49-735-5375064,MAINTENANCE,37,86162,0.8883584926917726,2025-10-02T11:27:22.035478,2025-10-02T11:27:22.035482
WS001,Munich-Airport,SATELLITE,48.3538,11.7861,"Weather Station Munich-Airport, Germany",OpenWeather,weather-munichairport@dwd.de,+49-787-1266495,ACTIVE,448,38620,0.9256312320115707,2025-10-02T11:27:22.035496,2025-10-02T11:27:22.035497
WS002,Hamburg-Fuhlsbüttel,AUTOMATIC,53.6304,9.9882,"Weather Station Hamburg-Fuhlsbüttel, Germany",Local Authority,weather-hamburgfuhlsbüttel@dwd.de,+49-511-5469962,ACTIVE,16,60636,0.8848409449552942,2025-10-02T11:27:22.035508,2025-10-02T11:27:22.035509
WS003,Cologne-Bonn,AUTOMATIC,50.8659,7.1427,"Weather Station Cologne-Bonn, Germany",DWD,weather-colognebonn@dwd.de,+49-351-6072416,ACTIVE,91,71715,0.8755624053931862,2025-10-02T11:27:22.035515,2025-10-02T11:27:22.035517
WS004,Frankfurt-Main,AUTOMATIC,50.0379,8.5622,"Weather Station Frankfurt-Main, Germany",Weather Underground,weather-frankfurtmain@dwd.de,+49-661-6001758,ACTIVE,111,15931,0.9418937683944766,2025-10-02T11:27:22.035523,2025-10-02T11:27:22.035524
WS005,Stuttgart-Echterdingen,AUTOMATIC,48.6899,9.2219,"Weather Station Stuttgart-Echterdingen, Germany",Local Authority,weather-stuttgartechterdingen@dwd.de,+49-905-2355103,INACTIVE,371,75359,0.8582526138078791,2025-10-02T11:27:22.035530,2025-10-02T11:27:22.035531
WS006,Düsseldorf-Airport,AUTOMATIC,51.2894,6.7668,"Weather Station Düsseldorf-Airport, Germany",OpenWeather,weather-düsseldorfairport@dwd.de,+49-372-6125710,MAINTENANCE,44,46141,0.9262278877522119,2025-10-02T11:27:22.035537,2025-10-02T11:27:22.035538
WS007,Dortmund-Airport,AUTOMATIC,51.5183,7.6122,"Weather Station Dortmund-Airport, Germany",Local Authority,weather-dortmundairport@dwd.de,+49-534-6513587,ACTIVE,130,12978,0.9074659602769835,2025-10-02T11:27:22.035551,2025-10-02T11:27:22.035552
WS008,Leipzig-Halle,AUTOMATIC,51.4239,12.2364,"Weather Station Leipzig-Halle, Germany",Weather Underground,weather-leipzighalle@dwd.de,+49-488-4572173,ACTIVE,141,86785,0.9110157383633835,2025-10-02T11:27:22.035559,2025-10-02T11:27:22.035560
WS009,Nuremberg,MOBILE,49.4987,11.0781,"Weather Station Nuremberg, Germany",Weather Underground,weather-nuremberg@dwd.de,+49-621-6182055,ACTIVE,309,2773,0.8835810318187128,2025-10-02T11:27:22.035565,2025-10-02T11:27:22.035566
